#devopsagainsthumanity,http://devopsagainsthumanity.com
"An army of chaos monkeys, all carrying flamethrowers","So, I was using Wireshark to check network traffic... Did you know we have _____ in production?"
A CORBA service written in Ada which communicates using JSONx,My eyes started bleeding when I opened the editor and saw _____.
A home-rolled systemd replacement,I think maybe I'll leave _____ off my resumé.
A custom kernel with Frontpage Extensions installed,We don't need _____ - we have _____ !
A mobile web 2.0 RIA,Management just told me I need to get certified in _____.
Agony-Driven Development,"Our app is like _____, but for _____."
Being acquired by Oracle,"Marketing says we're leaders in the _____ space, but I think it's more accurate to say we specialize in _____."
Catastrophic Failure as a Service,Our greatest achievement in the last year is _____.
"10,000 Nagios alerts per second",I write my code in vim because of _____
A global write lock,"If we make this deadline, Management has promised us _____."
75-tier architecture,Sweet! I just found a Puppet module for _____!
Hand-crafted artisan x86 assembly code:q,"Last week, I created a Chef recipe for _____; this week, it's an entire cookbook for _____, Automation FTW!"
The world's only fully-functional ROFLcopter,We really need to open-source our _____.
A proof that P=NP written in BASIC,A sales rep just tried to pitch me on _____; I told them we already have _____.
An Exchange email loop,Who would have known that _____ could destroy an entire datacenter?
A Volker-Craig terminal,"To secure our next round of funding, Management says we need _____."
A self-aware PHP script,Our production backups are stored using _____.
A 500-megabyte UDP packet,We replaced our _____ with _____
The last remaining Multics server on Earth,"After _____ came up, the retrospective really went downhill."
A Null-modem cable,"You know what our app needs? More _____, less _____."
A turducken made entirely of bash scripts,It figures - an article about our _____ was posted just as we're pivoting to _____.
Write-only code,"In the next planning session, we'll cover _____ and _____."
PagerDuty configured with a random number generator,Our competitive advantage is our _____.
Netscape Navigator 3.2 support,"Every time someone brings up _____, I throw up a little in my mouth."
3 hour standups,Continuous _____.
A Piñata full of error messages,All that we had to do to halve our response times was implement _____
Mutation of immutable data,Our entire app is geared towards providing _____.
Maven downloading the entire internet,_____-ility
Continuous Disintegration,We just achieved _____s per second!
IE6,http://i.imgur.com/546N4FR.jpg
Scrum Master,_____ is that even HA?
Magic Smoke,My Linkedin Endorsements include _____.
done done,Users are _____.
Tech Debt Day,Robots are going to make _____ obsolete.
Log Shipping,Accidental _____.
uucp,An error occurred: E_____
4chan Party Van,"According to the logs, _____ was initially caused by _____."
Adderall,We can just fix that with a little ______.
Tcl,"You can have _____, _____, or _____.  Pick two."
NoOps,"A monad is just a _____ in the category of _____, what's the problem?"
An angry whale shitting containers,"Functional programming - if you can't _____ it, _____ it."
:(){ :|:&};:,"On a scale from 1 to 10, this is _____!"
Too Big Data,"We don't need configuration management, we have _____!"
Accidentally the entire data center,"_____, now with _____ support."
freebasing caffeine,RedHat has announced that RHEL 8 will ship with _____.
Fat fingered,"""Hey, _____ is down. Can you fix it?"""
Half open TCP connections,I grabbed _____ on my way out the door after our paychecks bounced and management stopped answering their phones.
Steve Ballmer wielding a battleaxe,Did you try _____ yet?
A 50k line Bash script that's achieved self awareness,I was 6 beers in when I got the pager alert that _____was down.
Gigadevops,Notice: Building _____ for _____
Enterprise Grade Bash scripts,I laughed when they said I'd be on call 24/7 but wouldn't receive a stipend for _____.
Agile,If it weren't for _____ we'd all be _____.
A pink sombrero and a fifth of tequila,"_____, _____ and just a few lines of Perl."
A simple 15 level Hiera hierarachy,NoSQL is superior to SQL because _____
lolscale.,Script kiddies got into _____ because _____.
CouchDB,_____ is better than hadoop because _____
GeoCouchDB,Disturbing ____ leaves ____ fucked
High Availability,Rub a little _____ on it
Map-Reduce,"WAIT, YOU DELETED _____??!"
Web Scale?,@_____borat
Erlang,"It's not web scale, it's _____"
a non-ironic BSOD,The tech support hotline told me to _____
ntpdate,Asynchronous REST API calls are the solution to _____
Systemd,Say concurrent threads again and I will _____ you.
12 factor application,"""Guys, seriously, if we just use _____ it will solve all our problems with _____!"""
"Fail early, fail often",Facebook changed their profiles today because _____.
Regex,github.com/_____/_____
A violation of the most basic engineering principles.,Hello. My name is _____ and I am addicted to _____ .
The BOFH,_____ dependency hell.
A water buffalo,"That talk outline said it would be about _____, but it ended up being more like _____."
a routing loop,I will replace you with a very small ______.
a queue with no consumers,Jordan Sissel hates ______ so much that he created a new opensource project called _____ to work around it.
Bitcoin mining,_____ isn't a job title
A firewall full of holes,For the next project we are going to use _____ to solve _____ .
An uncontrollable deluge of emails,My editor of choice is _____.
I heard about it on hacker news,_____ it; ship it.
Ycombinator,_____-Stack Developer
a jailbroken iPad,_____SQL
"""Fuck it, we'll do it live!""","That's not a hacker, that's my _____! "
Vagrant,It has been __ days since the last _____
Nokogiri Gem,I've _____ things you people wouldn't _____
Docker,The _____ on the server were deleted because _____ .
"a ""MRW"" animated gif","This week, Aphyr runs _____ through jepsen."
$HOME/.gem,The intern just ran _____ on the load balancer.
"a posting on Craigslist ""internet engineers"" jobs forum",I need you to do a _____ with _____ before _____ .
ssh in a for loop,Lambdas are just a lame implementation of _____.
a cold cup of coffee,C-x; C-_____
Destroying your tools with your tools,This users wants _____ because _____ .
UTF-9,_____ should be deprecated in favour of _____ .
a dozen vendor t-shirts,_____ mismatch between _____ and _____
unlimited data plan,I put _____ on the scripts to make it run faster.
UTF-7,"Developers do not get access to production machines, because of _____."
out-of-band access,Developers need access to production machines because _____.
rm -rf /,We run _____ in a cron job every 15 minutes.
kill -9,The client says it needs more _____ .
a series of tiny shellscripts,We're a _____ as a Service company.
Dogecoin,I could hire a _____ to do your job!
Kernel panic,"My next Velocity talk is called ""_____ops"""
Hugops!,The RFO for the global outage was _____ compunded by _____
Lolcats,I was hired to maintain this 20 year old script that runs our critical _____ infrastructure.
Culture,Amazon Elastic _____
Percussive maintenance,"I know we use _____, but I wrote this critical program in _____."
IE 7 Support,I'll just have Ops spin up a couple of _____ environments.
Hangops,I'm writing my next IRC bot with _____.
Unix philosophy,SIG____
Trying to install MongoDB on AIX 3,I cannot wait until someone makes a _____ cluster out of these.
A server rack full of crushed dreams,C will finally be displaced by _____
Monads,__________.io
Silos,"We don't need to worry about _____, We're using MongoDB."
Elastic Load Balancers,Why is ______ better than Hadoop?
RFC1178,FC067: _____
Full-stack developer,"Oh, the _____ is just a hack to get the _____ to run."
Andrew Clay Shaffer,How do I even _____ ?
Jordan Sissel,_____ all the things.
A new printer.,ERROR: _____ NOT FOUND
A potato,"We don't need backups, we've got _____."
Office Space,Fixing your father's computer with _____.
Git Blame,it's always a _____ DNS problem
Developers! Developers! Developers! Developers!,_____ with this one weird trick.
Your account,"_____ isn't new, we used to do it in the '70s on mainframes."
Single stepping through the kernel,Puppet is better than Chef because _____ and _____
De-linting source code,How is _____ better than _____ ?
Significant whitespace,Learn ____ the hard way
@beerops,vagrant up _____
A series of tubes,bollocks up _____
secret sauce,You can fix  _____ with _____ .
# What is this used for?,We took the plunge and rewrote _______ in Go
Regular Expressions,Implementing _____________ should take only 2 lines of code.
"# FIXME: For now, just don't validate",I accidentally the entire ___________ is this dangerous?
ASAP,Good enough for ________ work
Nagios,"Yeah, but can it run _________?Y"
The Goddamn CDN,Security through _____.
Authentication and authorization,_____? You can safely ignore that. Usually.
A cluster of applications on a cluster of servers,_____ isn't cool. You know what's cool? _____
Beating the server into submission with your bare hands.,"I made a new editor, better than vim and emacs. It's called _____"
Read-only Fridays,640k should be enough for _____.
r/sysadmin,_____ worked in dev.
Distributed Computing,You can't fix _____
Sprint Planning,How hard could it be to port Linux to _____.
Merge Conflicts,I just finished working on my rocket powered _____.
"# we *LIE* about what happened and return a ""success""",Richard Stallman will kill you with his teeth for _____.
Unplugging a server and waiting to see who complains,DB tuning with _____.
THE MAGMA PEOPLE ARE WAITING FOR OUR MISTAKES.,Can anyone help me get _____ running on Cisco IOS?
a tiny ounce of knowledge,Real _____ don't use _____
Too big to fail,_____ on XEN
NoQA Movement,Please bring back _____. You broke my workflow.
A few instances,I cut-and-pasted this StackOverflow code for my _____.
operations hipster,I'm just finishing up my manifesto on _____.
Cowboy developer,r/_____.
cubism farm,We can discuss _____ at the stand-up meeting.
HipChat,A Beowulf cluster of _____.
An IRC bot written entirely in sed,We're demoing _____ for _____ at SXSW.
(╯°□°）╯︵ ┻━┻,I aliased _____ to git _____.
works for me,"10 PRINT ""_____""; GOTO 10"
a torrent of Torrenters torrenting,alt.binaries._____
COBOL,It is completely dark. You are likely to be eaten by a _____.
in b4 FIRST,Conway's Game of _____.
Donald Knuth,Next year I'll start learning _____
Rebooting All The Things,s/_____/_____/g
Running Openstack in Production,_____ is the newest gTLD
the Berkshelf way,Works on my _____.
DNS,One does not simply _____
SIGHUP,"Sorry, you'll need to open a ticket before we can _____."
Animated GIF,ln -s _____ _____
PC LOAD LETTER,_____
Automate,_____ is dead.
Delightful,_____. What the fuck does that mean?
Cache,_____-to-butt plugin
Proxy,Make it _____.
an online book seller,_____coin.
Dust Bunnies,_____ computing
Pete Cheslock,grep _____ | mail _____
Networking,_____ just got pwned.
A sad log with a mustache,"It's like _____, but with _____ and list comprehensions."
Blue Screen Of Death,Software Defined _____.
iso 8601,"I don't have any UNIX Beards in stock, but we do have  _____"
Daniel J. Bernstein,"Amazon does _____, why can't we?"
Linus Torvalds,_____ nagios
Broadcom chipset,I can't believe you're still using _____.
Moe,/dev/______: Device is busy
That XKCD comic about sysadmins,"_____, You don't exist, go away!"
iso 8859,"I tried _____, The doctors say I'll never walk again."
RFC 1149,git --_____
A pimply faced youth with nothing to lose,The _____ Public License.
Theo de Raadt yelling at newbs,_____ begins with _____.
Hate driven development,Couldn't we use _____?
Lotus123,_____ would be so much better if we rewrote it in Clojure.
/dev/null as a service,So I just found _____ and _____ running in a screen session.
Hackathons,Why is root running _____ under tmux?
GNU/Linux,"Instead of installing _____, what if we just used _____"
ZeroVM,I need a webinar like I need _____.
Stringing cloudtobutt.pl into postfix.,"Fuck it, time to break out the emergency _____."
ZeroMQ over SSH,"On the plus side, we finally got rid of _____."
SQLite,_____ thought leader.
LevelDB,Fuck it: _____ looks good to me.
Leap second bug,It looks like you're trying to _____. Can I help?
The fucking JVM,bash: command not found: _____
continuous deployment,ETOOMUCH_____
Tor,How did _____ ever work?
bash,"Whoops, I thought that method was supposed to _____ the _____"
numactl,I thought you said _____ was secure?
zsh,git: You are in detached _____ state.
Standing around outside on the streets of SOMA with an overheating laptop drunk while fixing your god damn Saturday night deployment.,Why don't we just fork _____ ?
Vegan friendly init scripts.,Network dropped connection because of _____.
Committing from the bar.,We turned off _____ and everything magically got better.
Servers that follow daylight savings time.,I found a Samba share full of _____
Rolling Grubhub into the build failed script.,_____. What could go wrong?
command line options,Install ______
Temporary hotfixes,I installed _____ by accident.
jsLinux,Read-eval-_____-loop.
SIGKILL,We should try it with an actual _____.
Your private browsing history,Is _____ something we need to optimize for?
Wearing protection during peer programing.,Hack _____ into redis.
top,_____ Considered Harmful
Arguing over the internet.,Never _____ before a demonstration
year 2038,The _____ is used when the CPU is on fire
dd,modperl can be used to implement _____
pdisk,_____ runs Ruby as root
rsync,Larry Wall trained as missionary then _____
CFLAGS,Listening to the fans in the server farm leads to _____
cowsay,_____ and _____ are rumoured to be working on a python module for a helicam
profanity in the git log,A lot of disk space is needed for _____
Gentoo,automagical _____
The CEO,Whoever made the unscheduled change to production on Friday will be forced to use _____.
Ping Pong,Install _____
Dennis Ritchie,Never question the ____
PAM Happy Hour,I can't wait until we no longer use _____
Complex systems usually operate in failure mode.,I bet if we switch to _____ it will just work
FAT32,_____ has just discovered _____.  We're doomed.
winsock,A neckbeard made of _____.
fork() on Windows,"False alarm, it was just _____ running _____."
runlists,_____ running on a rack of _____.
sudo,"No, _____ being hopelessly broken is NOT an emergency."
"echo shell_exec(""sudo ./smbkill "".escapeshellcmd($_GET['kill'])."" 2>&1"");",Our new startup is the _____ for _____.
kill -9 -1,_____ make me a sandwich
curl 4chan | sudo sh,_____ over IP
HTML9 Responsive Boilerstrap JS,_____ is a hardware problem.
Neckbeards,"I AM working, I'm waiting for the _____ run to finish."
A Certified SCRUM Master,The first rule of _____ is: You do not talk about _____.
Bus error,Google Analytics says 100% of my website visitors are _____
git reset --hard origin/master,_____ will never get job in Microsoft
Forcing push to master,4chan.org is powered by _____.
Paxos,We can _____ just like Netflix
LogFiles\W3SVC1,_____ is how I resolve all merge conflicts.
A German installation of Windows NT4,Why does someone keep re-implementing system utilities in _____?
curl | sh -c,Remember when you told me to tell you when you were acting _____ and _____? ---you're doing it now. 
OpenLDAP,Our only hope at recovering the data is _____
Spot Instances,_____: the gift that keeps on giving.
Those ksh scripts,_____ has been killed with fire.  My work is done here.
/cgi-bin/php5,Problem exists between Keyboard and _____
A $60 QNAP and some positive thinking,100% government funded _____!
raspberryPI,The _____ certification program.
Windows ME,_____? I'd hit that.
@echo off,_____ makes robots moves
Active Directory,I just finished writing an API for _____.
conflict minerals,_____ is a batch command to shut the fuck up
continuous incineration,_____.  Failed to cache catalog.
The gentle sound of weeping drifting from the server room,Everytime you allocate you have to _____ when you're done
eventual consistency,"Sorry, I'm all out of _____-fu."
Microsoft® Azure,90% of everything is _____.
Pinging the broadcast address,"Given enough _____, all bugs are _____."
That moment when you realize CTRL-Z cannot save you,_____ never use on git
127.0.0.1,The first 90% of development is _____. The second 90% is _____.
Ethernet,"When you logged in there, did you see a _____ that said _____"
IPv6,Purely numeric hostname and not a _____ -----rejecting!
Re-writing deployment scripts at 2 AM,I'm pretty sure _____ isn't thread safe
Piping /var/log/messages to Twitter,We don't have to worry about CAP Theorem because of _____.
A pseudorandom number generator,"I don't always test my code, but when I do I do it in _____."
An outage window,"Those who don't understand _____ are condemned to reinvent it, poorly"
Sentinel System Driver,The NSA is really interested in our latest project: _____.
fpm,"Just change the _____, it'll be fine. "
catastrophic cancellation,"Yeah, you need to modprobe _____ to get it to recognize the _____"
termcap,"Oh, we're devops! We have ______ in the office, but only the DBA can touch it."
f00d,We're spending 20% of this sprint doing _____.
one giant SPOF,_____ found a new OpenSSL vulernability people are calling _____.
Richard Stallman's Neckbeard,Management has changed all our job titles to _____.
phpMyAdmin,while true; do ____; done
Righteous Anger,The consultant we hired is certain that _____ will drastically increase the performance of _____
Crowdsourced Architecture,Could you just push this update for _____?  It should be a no-op.
/etc/hosts,"If we're all going to get fired, let's get fired for _____."
CEOs with root access,"We can't pay you, but we can offer _____ in compensation."
Automagic Metaprogramming,A soiled napkin with the contents of _____ scribbled on it
Re-implementing TCP over UDP,Who thought that _______ was a good idea?
Rewriting bash scripts as CMD batch jobs,It's not the recommended configuration to use _____ with _____ but it's in production right now.
#define BEGIN  {,We wrote our own build tool based on _____
Microsoft Access over a WAN,I've received a Microsoft MVP Award for _____
git submodules,We rewrote _____ in _____
Haskell,The ticket to install _____?  I deletegated it.
Functional Reactive,"Some people, when confronted with a problem, think ""I know, I'll use _____."" Now they have two problems."
memegen,Artisanally crafted _____.
Flynn,"The backups are fine, but the restore process is _____"
eventual persistence,I can't believe QA made a ticket for _____
Jenkins,The _____ that ops provides developers.
Bingo Balls,Oracle is proud to announce that the next edition of Java features ______
Mechanically Recovered Turkey,Move _____ and break things.
ChatOps,_____: ci or not ci?
Scala,I opened the server cabinet and it was full of _____.
WONTFIX,Crossing _____ could lead to total protonic reversal.
Trello board,The next big thing is _____
mechanically recovered data,I once made a robot around the concept of _____
Friday afternoon deployment,I _____ your stupid issue!
YoloDB,Nine circles of ___ hell.
Piping random scripts from the internet into bash,I once wrote an NPM module called _____.js
post-mortems,I asked the contractor for _____ and they delivered _____.
Github selfies,"Welcome to Programming 1, our first topic will be ______"
Production deployments that depend on GitHub,The Genius Bar recommends you try ______
RFC 2324,Post-modern coding is defined by _________
Your code featured on The Daily WTF.,_____ | sudo sh
optimistic transactions,ASP has finally developed and replaced _____
Webscale,https://docs.google.com/spreadsheets/d/1OKgmjNz8l7skYfrbrOtYT6QmSf_y-BzZOWJWZC3tbUQ/edit#gid=0
Cats,_____ has been put under the WTFPLicense
Ponies,"Here's _____, as I promised."
Your Mum,"I'd like _____, _____, and a Fluttershy."
Using Brain Fuck in production,It compiles _____ to JavaScript.
Picking the best color to paint your bike shed,Only the Enterprise Edition(tm) has _____.
Server cages,_____ is a proof of concept and an actual _____ _____
Copy-on-write,The trouble with kids these days is _____
deduplication,______ is the new Stalinism.
LART,_____ for the win!
BOFH,_____ is the new _____
Program Management,Don't read the _____ or the _____ pages
Product Managers,"With _____, you write once, run nowhere."
The Ballmer Peak,_____ discontinued support for the Linux version.
0xDEADBEEF,"A manager told me I couldn't remove our dependency on _____, but I got around it with _____."
A coked-up tech recruiter,_____ implements every single standard for _____.  Poorly.
A contractor that tells you it was a real learning experience,Just think of the Internet as _____.
RTFM,Would you like _____ with that?
A 1996 Java applet,_____? We've got that.
A virtual machine running a virtual machine until it brings on the Singularity,It took over 40 hours to document _____. 
Ops doing dev = technical debt,//TODO: _____.
"#And right here, we'd like a miracle.",npm install _____.
Sparkly Devops Princess,Circular imports import _____. 
Patrick Debois,A firewall rule for ____.
git merge --force,_____ is why the jDBA thought it might be time to go to #mysql on freenode
A literal cluster fuck,_____ is the only reason the jDBA survived typing rm -rf /
The library that imports all other libraries,_____ exists?
The tech lead's shitty pet project,It's like _____ on _____.
An entirely commented out file,"I came here to drink milk and _____, and I've just finished my milk. "
A constructor for RandomThing,End-to-end _____.
Circular imports,_____ will help you remember to sanitze your database inputs.
A pull request with a winking smiley ;),Fascists cannot stand _____.
Syntactic sugar coma,0._______________
Former employees who still have admin access to live production servers,RTFM so you can ___________.
The ib_logfiles,_____ took EBS down again today.
The mysql client,I ssh'd into a server running _____ and promptly noped the fuck out of there.
Paul Graham,"_____, the final solution."
The much neglected IPv5,We're running _____ in production?!
cron jobs that edit cron jobs,_____ has root access.
Snail scale,We don't have enough package managers said _____
Testing positive for mongonucleosis,_____ is more reliable than ______
PEBKAC,"Of course culture is important to us, that's why we have _____."
ReiserFS,I'd rather stick my penis in _____.
/dev/null,I'd trust all my stuff to _____.
Little Bobby Tables,_____ ass-as-sin-vice.
Solar flares,My _____ for a _____.
Global warming,Nice _____ I'll take it.
Short Stroking,@horse_____
Reticulating Splines,such _____. wow.
RAID 3 SSD cluster,"That's funny, did ____ used to be here?"
Re-implementing TCP over TCP,I can't believe you improved ______ by deleting __________
Mixed endianness,The only thing more dangerous than _____ is a programmer with _____
OAuth,1.  ________ 2. _________  3. Profit.
traceroute,"""Monads are easy! Just think of them as _________"""
rockstar,"Before you penetrate someone's backend, you first must _____"
packet loss,I upload my worm to _____
smokeping,I fork my children with _____
losing the root password,My shared socket connects to ____'s backend
Works on my machine!,Multiple backend penetration  is achieved with _____
malloc,You can force kill your children by _____
buffer overflow,_____ corrupts your children's memory
StackOverflow is offline?!,_____ behaves like a dangling socket
server logs,Verify your ______ when you wipe your childrens sockets
Penetration test,_____ ate all my memory
Deploying on a Friday afternoon,_____ is always a good practice.
Quipu,"Don't mind me, I'm just practicing _____ ."
too many authorization failures,We accidently the whole _____.
two single quotes,It's easy! Just run _____
kremvax,I assure you _____ is secure!
the unix epoch,Our backup policy is _____
0-day exploits,____ the XML in that JSON file
tribal knowledge,pacman -Syu accidentally _____ everything
puppet,I saw a High Scalability blog post about _____
RHEL4,"""We didn't think anyone was using _____!"""
DevOps Reactions,Do you wanna build a _____?
syntax error,I never truly understood eXtreme programming until I encountered _____
killall -9,The Agile Manifesto taught me to pick _____ over _____
pre caffeine typos,_____ should be a singleton!
banana pi,Flash is dying because _____
RAID 0,"Neo, the matrix has one fatal flaw, you must find _____"
PIP,"Javascript is the best language ever, thanks to _____"
PyPi,"Last night while drunk, the W3C declared _____ as a new web standard."
Synergy,North Korea finally launched warheads because of _____
dev,Nobody will value your work if you don't use ____
Java,"_____, because scientists don't know how to code"
geometric distances,"____, because Knuth."
Indian Ocean,The entire system failed because of _____
Out of bounds exception,The meeting between Europe and the USA was cancelled because of _____
hunter2,We missed the launch window due to confusion from _____
GCHQ,____ wasted thousands of dollars
NSA FOIA request,No one can authenticate because of ______
wat,___ caused the servers to melt down
kanban,_____ invalidated all the assumptions in our monitoring system
Halt and Catch Fire,_____ because _____.
Ansible,CAMS is outdated because of _____.
Template out,"___, because even the hobos of Market Street need a cluster scheduler."
bzero,"It's cool, they use _____ at Etsy."
sendmail,Code as _____.
bare metal,_____ is how the cloud works.
Slackware,How does it look in Opera?
Bazaar,The _____ shell
runit,_____ in haskell
Home-grown monitoring solution,Say ___ one more time; I dare you!
Virident,"The cloud runs on _____, with a bit of _____."
ifconfig lo down,"_____, because who needs monitoring. "
Arch linux in production,This problem can be completely solved with _____ implemented in _____.
AUR,_____ vs _____... fight!
Btrfs on a 2.6 kernel in production,I regret to inform you your weekend has been revoked due to _____.
Actually reading the manual,"All alerts go to ____, which is handled by _____."
telnetd on the payment tier,"_____, it's the new pink."
The Hungary Games,I've got 99 problems but _____ ain't one.
the GIL,140 characters is just enough to explain _____.
Solaris,_____ all the way down.
SmartOS,_____ or it didn't happen.
Joyent,Ask Me Anything about __________.
Big-endian x86,Called on account of __________.
Uncyclopedia.org,Disrupting the established players in __________ via __________.
Spongebob Squarepants,Doge __________.
Flux Capacitor,Employees must __________ before returning to work.
Toaster on Wheels,Enterprise __________ in the cloud.
The previous developer,Enterprise-ready __________.
Debian experimental in production,Epic yak-shave caused by __________.
10 years since last update,Facebook has acquired __________ for $10b and __________.
rm /dev/null,Free as in __________.
Testing in production,Glitter-bombed with __________.
The Gang of Four becoming a real gang,"Hi, I'm Troy McClure. You may remember me from such commit messages as __________ and __________."
Shoving the code down the compilers throat with catch statements,How even is __________ formed?
Legacy Code that you're terrified of deleting,I can haz __________.
That one goddamn line,I don't own any jeans skinny enough to wear to a __________ meetup.
HTML5 vs Flash,I saw the best minds of my generation __________.
Sudo: make me a sandwich,"If __________ is the answer, you are asking the wrong question."
Java's Syntax,"If you're __________, you're gonna have a bad time."
The Travelling Salesman Problem,Nobody ever got fired for buying __________.
Subjective C,Running Windows in production leads to __________.
Ubuntu? I have to learn Ubuntu?,"The Internet is for cat memes and __________,"
Dell custumer support,The Internet of Things will be controlled by __________.
The Genius Bar,The only thing necessary for evil to triumph is __________.
That Goddamn Paperclip,Uber is on surge pricing because of __________.
"Laziness, impatience, and hubris",WARN: __________ has been deprecated.
A deleted StackOverflow post,Will merge pull requests for __________.
All our code becoming self-documenting because I declared it so,Zero-day __________.
"VBScript, the future of software!",Time to schedule the postmortem for _____________ .
The waterfall model,It worked on my ___________.
NaN,"___________, the only thing worse than recruiting spam."
undefined,___________ - the idiots guide to ___________ and ___________.
An empty int,Wrap it with the _________ duct tape
Continous Testing,But Google is using _________ so we should too!
Service Virtualization,____________ is the new __________.
Test Automation,Etsy says we should __________ everything.
Writing a Perl script to deploy Puppet Enterprise,xkcd.com just made a hilarious comic making fun of ___________.
The OOM Killer,This isn't going to be all unicorns and _________.
$lastjob,Apple just patented ___________________________.
segfault,When I was a kid we didn't have __________.
$i++,Root cause of the outage? ________________.
tabs not spaces,"The status console is green, but I can't access _________________."
spaces not tabs,No route to host: ____________.
Spaces and tabs in the same file,DevOps: Now with 100% more ________________!
iptables,Main benefits of automation: ____________________ and ___________________.
Fedora Core 9,Chef convergence failed due to _________________.
LaTeX,...and then there was the time I found ___________ on the root partition.
NumPy,We run production on _____________ and _________________.
An unmaintained man-page,Management said it's OK to deploy _________________ at 5pm on Friday
An old Gentoo installation,Did you know that we have ______________ on pager rotation?
TeX,"""There was no good solution for _______________, so we built our own."""
null-pointer,Amazon built a datacenter on the moon to lessen the risk of _________________ causing problems.
Delphi code from the 1990's,"In order to improve security, we're upgrading to _______________."
